_id,birthday_from_fb,gender_from_fb,age,gender,compress_age
100000249168397,1998,female,20,0,2
100007724861071,2005,male,13,1,1
100015340716074,1998,male,20,1,2
100015312432808,1992,female,26,0,3
1031407670,1981,female,37,0,4
100004280921085,2000,female,18,0,1
100006658602009,2001,female,17,0,1
100004478860786,1990,male,28,1,3
100015485412342,1988,female,30,0,3
100009534409948,2005,male,13,1,1
100021468637122,1992,male,26,1,3
100006426668205,1989,female,29,0,3
100005350184205,1996,female,22,0,2
682729015,1985,male,33,1,4
100002457717136,1989,female,29,0,3
1020272351,1991,female,27,0,3
100003146390048,1991,female,27,0,3
100015545047312,1983,male,35,1,4
100023434680086,2001,female,17,0,1
100002261920865,1996,male,22,1,2
100003846976773,1997,female,21,0,2
100001327085429,1994,male,24,1,2
100003046963613,1998,female,20,0,2
100001157579130,1984,male,34,1,4
100021896884143,1988,female,30,0,3
100004285271388,2001,female,17,0,1
100005746988968,1982,female,36,0,4
100005887962217,2000,male,18,1,1
100003015029226,1990,male,28,1,3
100001711440448,1990,male,28,1,3
100000825743502,1989,male,29,1,3
100002794636793,1995,male,23,1,2
100006775813168,1998,female,20,0,2
100007844582547,1997,female,21,0,2
100006879335869,2002,female,16,0,1
100015568184791,1981,male,37,1,4
100008458606259,2002,female,16,0,1
100005910189566,2000,female,18,0,1
1374055825,1991,male,27,1,3
100008135734007,1998,female,20,0,2
100021275590832,1992,female,26,0,3
100001616239481,1983,male,35,1,4
100003783114272,1998,male,20,1,2
100003483623674,1985,male,33,1,4
100012208308771,1996,female,22,0,2
100022247055132,1991,male,27,1,3
100003251935013,1999,female,19,0,2
100003736417040,2000,male,18,1,1
100007710823695,2000,female,18,0,1
100003244294794,1992,male,26,1,3
100012386535830,1998,female,20,0,2
1042298402,1979,female,39,0,4
100015486108221,1999,female,19,0,2
1818519658,1989,female,29,0,3
100001425683259,1992,female,26,0,3
100005364617154,1986,male,32,1,3
100010290812203,1997,male,21,1,2
677699087,1985,female,33,0,4
100016391288587,1985,female,33,0,4
100004586440429,1997,female,21,0,2
100003083821335,1983,male,35,1,4
100004938975900,1993,male,25,1,2
100021409146543,1988,male,30,1,3
100011043799192,1980,male,38,1,4
100016611585136,1982,male,36,1,4
100005682163499,2000,male,18,1,1
100013081963329,2000,female,18,0,1
100014951226327,1997,female,21,0,2
100003111868644,1992,female,26,0,3
100009518619787,1997,female,21,0,2
100013863912390,1980,male,38,1,4
100006307624804,1992,female,26,0,3
100011679150983,1998,female,20,0,2
100002384264549,1985,male,33,1,4
100006098499438,2000,male,18,1,1
100006404286349,1992,male,26,1,3
100011778144734,1995,female,23,0,2
100005470388344,1988,male,30,1,3
100007103256134,1982,male,36,1,4
770739230,1992,female,26,0,3
100005896057647,1982,male,36,1,4
100004571709687,1982,male,36,1,4
100019460041189,2001,male,17,1,1
100019817200359,2002,male,16,1,1
100002657916422,1989,male,29,1,3
100000236381230,1993,female,25,0,2
100006805157962,1997,male,21,1,2
100000354460294,1990,female,28,0,3
100005431681884,1982,female,36,0,4
100000271771798,1991,female,27,0,3
100009557415998,2000,female,18,0,1
100016215522010,2002,female,16,0,1
100005138493386,2001,male,17,1,1
100004782308719,2000,male,18,1,1
100010003188282,2000,female,18,0,1
100006690421393,2000,female,18,0,1
100004831652789,1991,male,27,1,3
100007420482552,1998,male,20,1,2
100010015268159,1997,male,21,1,2
100011370536890,2000,male,18,1,1
100009924705461,2001,female,17,0,1
100000085893933,1989,male,29,1,3
100001817058854,1996,female,22,0,2
100002592992647,1983,male,35,1,4
100005529158401,1996,male,22,1,2
1704897991,1991,female,27,0,3
100000314228608,1991,female,27,0,3
100009081478475,1985,male,33,1,4
100001974044133,1998,male,20,1,2
100004114864205,1998,female,20,0,2
100004910432648,1980,male,38,1,4
100024983565755,1993,female,25,0,2
100003336631595,1990,female,28,0,3
100005357599275,1994,female,24,0,2
100002788466514,1990,female,28,0,3
100005407031473,2001,female,17,0,1
100000112174769,1985,male,33,1,4
100012745782949,2001,male,17,1,1
100001786764666,1992,female,26,0,3
100017889274673,2003,male,15,1,1
100006631960736,1980,male,38,1,4
100005537718976,1988,female,30,0,3
100015438212279,2002,male,16,1,1
100004273051711,1999,female,19,0,2
100010359752119,2004,male,14,1,1
100000922534129,2000,female,18,0,1
100009113351790,2000,male,18,1,1
100005555072525,2001,male,17,1,1
100004288424054,1995,female,23,0,2
100010454016817,2004,female,14,0,1
100006121450470,1990,female,28,0,3
100007721506396,2001,male,17,1,1
100015371689447,1992,male,26,1,3
100014557086413,2002,male,16,1,1
100027084200544,1994,male,24,1,2
519509709,1996,male,22,1,2
100013254906963,1994,female,24,0,2
100008206233361,1990,male,28,1,3
100012646570279,2002,male,16,1,1
100015268658628,2000,male,18,1,1
100007047553453,1983,female,35,0,4
100024039124832,1991,male,27,1,3
100005940575826,1991,female,27,0,3
100007274197154,1991,male,27,1,3
100011212368567,1999,female,19,0,2
100006692801205,2000,male,18,1,1
100005170871607,1984,female,34,0,4
100005152411881,1990,male,28,1,3
100001682847230,1989,female,29,0,3
100000291961678,1989,male,29,1,3
100026244111804,1986,female,32,0,3
100006072677099,2000,female,18,0,1
100003843934308,1996,male,22,1,2
100010752374392,2002,female,16,0,1
100004677583646,2000,male,18,1,1
100002848703359,1999,female,19,0,2
100005452241281,1999,male,19,1,2
100004202641449,1999,female,19,0,2
100019540596394,1990,male,28,1,3
100002789385350,1983,female,35,0,4
100014551846047,1989,male,29,1,3
100006776799300,1985,female,33,0,4
100007607955563,2003,female,15,0,1
1848464101,1982,male,36,1,4
100009532187044,2000,female,18,0,1
100004472678550,1999,male,19,1,2
1412576982,1979,female,39,0,4
100006427915910,2000,female,18,0,1
100001284469538,1987,male,31,1,3
100000991365512,1995,female,23,0,2
100020841184483,2000,male,18,1,1
100003650626740,1984,male,34,1,4
100005246592448,1999,female,19,0,2
100014904667516,1998,female,20,0,2
100000990523226,1994,female,24,0,2
1786347606,1983,male,35,1,4
100003119303467,1995,female,23,0,2
100009191543964,2000,female,18,0,1
100009461947360,2001,male,17,1,1
100014154636986,2006,male,12,1,1
100023158541054,1999,male,19,1,2
100009179390857,1989,female,29,0,3
100004760857831,1980,female,38,0,4
100003961000902,1984,female,34,0,4
100011571859179,1997,female,21,0,2
100003206773515,1999,female,19,0,2
100009319086328,1981,male,37,1,4
100001618880130,1982,female,36,0,4
100011475010649,2002,female,16,0,1
100012983142369,2000,male,18,1,1
100012909377557,2000,male,18,1,1
100005842201443,1994,female,24,0,2
100013937865094,1999,male,19,1,2
100007019891598,1985,female,33,0,4
100003522611600,1989,male,29,1,3
100000212387193,1981,male,37,1,4
100004090752812,1984,female,34,0,4
100001457144751,1992,female,26,0,3
100002306224881,1982,female,36,0,4
100006647866394,2000,female,18,0,1
100004718311004,1982,male,36,1,4
100009972997688,2000,male,18,1,1
100009839268809,1995,male,23,1,2
100000206909564,1991,female,27,0,3
100005802067840,2005,female,13,0,1
100006508205748,2002,male,16,1,1
100007584574956,1985,male,33,1,4
1015565198,1984,female,34,0,4
100001067711142,1982,female,36,0,4
1500219813,1986,female,32,0,3
100000199740618,1991,male,27,1,3
100002961767958,1992,male,26,1,3
100009487885361,1998,male,20,1,2
100003002433062,1996,male,22,1,2
100000234479418,1993,male,25,1,2
100002969951396,1984,female,34,0,4
100000615270576,1991,male,27,1,3
100007901824932,2000,female,18,0,1
100004293122806,1991,male,27,1,3
100003312793411,1989,male,29,1,3
100002939746868,1989,female,29,0,3
100008633774244,1999,female,19,0,2
1723732013,1994,male,24,1,2
100022422330321,2001,female,17,0,1
100009795699917,1998,male,20,1,2
100013782733159,1997,female,21,0,2
100010338016169,2002,male,16,1,1
100011390901631,1996,male,22,1,2
100009972939768,1997,male,21,1,2
100006450693319,2001,female,17,0,1
100011456744931,1992,male,26,1,3
100000605700351,1983,male,35,1,4
100006042104098,2001,female,17,0,1
100009755343892,1981,male,37,1,4
100013714720586,2000,female,18,0,1
100006845791272,2002,female,16,0,1
100022657238429,1992,female,26,0,3
1849391503,1989,female,29,0,3
749135708,1984,male,34,1,4
100007740458931,2002,female,16,0,1
100018843990974,1985,male,33,1,4
100002330515829,2000,female,18,0,1
100004427288151,1995,female,23,0,2
1786074948,1985,male,33,1,4
100005667643343,1980,male,38,1,4
100004595468874,1998,female,20,0,2
100003663409602,1990,female,28,0,3
